name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Valuable Gang of Young Negroes,Valuable Gang of Young Negroes,1840,,Broadsides Collection,Slaves,,,advertisements,https://idn.duke.edu/ark:/87924/r4j67bk8c,,,Jos. A. Beard
John Marshall,John Marshall,1842,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r4pv6cx38,"""lists the horse John Marshall's performances in previous races""",,A. McKenzie Stable
"Stick To The Mail Lines!  New Mail Arrangement, For The South!","Stick To The Mail Lines!  New Mail Arrangement, For The South!",1842,,Broadsides Collection,Transportation & Travel,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r40z72p9h,additional ad company is Stockton & Falls,,U.S. Mail ?
Jim Crow,Jim Crow,1843,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r4610xf3q,horse,,Henry Watson Farm
Prince Hal,Prince Hal,1843,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r40z72k4r,bull,,Henry Watson Farm
Life Preserving Coffin,Life Preserving Coffin,1844,,Broadsides Collection,Medical,,,advertisements,https://idn.duke.edu/ark:/87924/r4bg2k08n,interesting!,,Bobeth & Schulenberg
Superior Stock Auction,Superior Stock Auction,1844,,Broadsides Collection,Animals and Stud,,,advertisements,https://idn.duke.edu/ark:/87924/r4jd4rd5k,,,Henry Watson Farm
City Property at Auction.,City Property at Auction.,1845,,Broadsides Collection,Land and Homes,,,advertisements,https://idn.duke.edu/ark:/87924/r4sf2p35g,,,Henry Franklin and John B. Johnson
Congressional Globe and Appendix,Congressional Globe and Appendix,1845,,Broadsides Collection,"Price List', 'Magazines and Newspapers",,,advertisements,https://idn.duke.edu/ark:/87924/r4w37nk47,,,Blair and Rives
"Do Not Neglect Seeing The Truly Extraordinary Exhibition Now Open In Niblo's Garden, During the Fair.","""Do Not Neglect Seeing The Truly Extraordinary Exhibition Now Open In Niblo's Garden, During the Fair.""",1845,,Broadsides Collection,Exhibits,,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4sj1cg2w,ad is split into two scans though it is really only one page.,,A. C. Koch?
