name,year,headline,company,product,category,subject,publication,medium,format,link
Children Like Sanitol,1911,Children Like Sanitol,Sanitol Chemical Laboratory Company,Sanitol Tooth Powder',Beauty and Hygiene (1911-1956),"Children', 'Dental Supplies'",Vogue,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4zs2m129
Makes tooth brushing an enthusiastic habit,1911,Makes tooth brushing an enthusiastic habit,Sanitol Chemical Laboratory Company,Sanitol Tooth Powder or Paste',Beauty and Hygiene (1911-1956),Dental Supplies',Vogue,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r40c4t63f
Exquisitely Dainty,1912,Exquisitely Dainty,Sanitol Chemical Laboratory Company,Sanitol Tooth Powder or Paste',Beauty and Hygiene (1911-1956),Dental Supplies',,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4mg7gh4k
Mrs. Adair,1912,Mrs. Adair,Eleanor Adair,Patent Ganesh Forehead Strap',Beauty and Hygiene (1911-1956),Cosmetics',,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4571883r
Scientific Beauty Culture,1912,Scientific Beauty Culture,Eleanor Adair,Patent Ganesh Forehead Strap',Beauty and Hygiene (1911-1956),Cosmetics',Dress,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4v11w65d
"A Moving Picture, The Conversion of Mr. Prejudice",1914,"A Moving Picture, The Conversion of Mr. Prejudice",Colgate & Company,"""Colgate's Shaving Stick""",Beauty and Hygiene (1911-1956),"Illustration', 'Comics', 'Shaving Supplies'",Digest,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4qb9vs1k
Colgate's Shaving Lather,1914,Colgate's Shaving Lather,Colgate & Company,"""Colgate's Shaving Lather""",Beauty and Hygiene (1911-1956),Shaving Supplies',Digest,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4kk94z8p
Colgate's Shaving Lather,1914,Colgate's Shaving Lather,Colgate & Company,"""Colgate's Shaving Lather""",Beauty and Hygiene (1911-1956),Shaving Supplies',Literary Digest,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4p844g5w
Colgate's Shaving Stick,1914,Colgate's Shaving Stick,Colgate & Company,"""Colgate's Shaving Stick""",Beauty and Hygiene (1911-1956),Shaving Supplies',System,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4pc2tw0d
Shaving Powder for Women's Use?,1914,Shaving Powder for Women's Use?,Colgate & Company,"""Colgate's Shaving Powder""",Beauty and Hygiene (1911-1956),Shaving Supplies',,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4jh3dp1r
I'm Going to Get Free Railroad Fare to the Panama Exposition So Can You!,1915,I'm Going to Get Free Railroad Fare to the Panama Exposition So Can You!,Sanitol Chemical Laboratory Company,Sanitol Tooth and Toilet Preparations',Beauty and Hygiene (1911-1956),Dental Supplies',Holland's Magazine,magazines (periodicals),advertisements',https://idn.duke.edu/ark:/87924/r4610wd3v
"It's a short shave, that has no burning--that is if you use Colgate's Rapid-Shave Powder",1916,"It's a short shave, that has no burning--that is if you use Colgate's Rapid-Shave Powder",Colgate & Company,"""Colgate's Rapid-Shave Powder""",Beauty and Hygiene (1911-1956),Shaving Supplies',World's Work,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4dr2pv8g
The 3 Best Sellers -and what the Reviewers say about them.,1916,The 3 Best Sellers -and what the Reviewers say about them.,Colgate & Company,"""Colgate's Shaving Lather""",Beauty and Hygiene (1911-1956),Shaving Supplies',Literary Digest,magazines (periodicals),"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4q815c73
Habit,1917,Habit,S. S. White Dental Manufacturing Co.,S.S. White Tooth Paste',Beauty and Hygiene (1911-1956),"Children', 'Coupons', 'Dental Supplies'",,newspapers,"advertisements', 'drawings (visual works)'",https://idn.duke.edu/ark:/87924/r4np1x571
